
101A English              Period 4
  Nolan Finch  (119)
  Parker Whitlock  (390)
  Riley Madden  (152)
  Samuel Adair  (333)
  Victoria Gorestriker  (378)
Student Count 14

504D Computer             Period 4
  Aiden Caskcut  (103)
  Anna Spade  (172)
  Audrey Lopez  (386)
  Autumn Stoll  (11)
  Ella Thatcher  (305)
  Grayson Ashbluff  (430)
  Hudson Gonzales  (365)
  Jack Beckett  (228)
  Joseph Hansley  (51)
  Leonardo Ashbluff  (111)
  Lincoln Adams  (353)
  Lucas Curran  (426)
  Luna Finch  (23)
  Madelyn Jenkins  (244)
  Olivia Adler  (99)
  Ruby Adler  (402)
  Scarlett Dawson  (63)
  Serenity Ashley  (87)
  Theo Caskcut  (285)
Student Count 19

504E Computer             Period 5
  Anna Beckett  (341)
  Anna Madden  (329)
  Athena Woodgrip  (168)
  Bella Poverly  (309)
  Caroline Wixx  (361)
  Eleanor Singh  (470)
  James Curran  (196)
  Jaxon Moses  (349)
  Kennedy Ashbluff  (450)
  Kinsley Truthbelly  (345)
  Landon Ashbluff  (265)
  Mila Crassus  (184)
  Oliver Ashbluff  (240)
  Oliver Gasper  (43)
  Theo Jenkins  (317)
  Violet Elrod  (369)
  Wyatt Monroe  (31)
  Zoey Gorestriker  (248)
Student Count 18

504F Computer             Period 2
  Angel Gorestriker  (140)
  Anthony Gannon  (128)
  Autumn Marblemaw  (410)
  Charlotte Gasper  (208)
  Claire Driscoll  (434)
  Everleigh Gray  (224)
  Genesis Humblecut  (47)
  Isaac Whitlock  (27)
  Joseph Stoll  (39)
  Joshua Yearwood  (204)
  Julian Undergrove  (180)
  Maverick Spade  (136)
  Maverick Thatcher  (192)
  Michael McKenna  (35)
  Parker Undergrove  (156)
  Ryan Elrod  (164)
  Ryan Poverly  (176)
  Scarlett Cassidy  (442)
  Sophie October  (482)
  Zoey Hansley  (398)
Student Count 20

504G Computer             Period 7
  Brooks Poverly  (357)
  Charles Ledger  (261)
  Daniel Jenkins  (414)
  David Lennon  (123)
  Ella Fellowes  (486)
  Ivy Solace  (144)
  Jack Raven  (55)
  Jordan Vespertine  (232)
  Joseph Gray  (3)
  Kennedy Yarrow  (498)
  Logan Raven  (466)
  Mateo Jenkins  (200)
  Maya Ashbluff  (160)
  Maya James  (188)
  Nevaeh Hayes  (253)
  Walker Lightfoot  (115)
  Waylon Caskcut  (394)
Student Count 17

505A Auto                 Period 1
  Adrian Cromwell  (474)
  Alexander Verlice  (92)
  Caroline James  (314)
  Charlotte Gasper  (208)
  Eleanor Singh  (470)
  Ella Lopez  (370)
  Isabella Madison  (418)
  Jaxon Hope  (96)
  Julian Undergrove  (180)
  Logan Marley  (8)
  Logan Raven  (466)
  Madelyn Zimmerman  (72)
  Maverick Spade  (136)
  Mila Crassus  (184)
  Riley Verlice  (318)
  Ryan Poverly  (176)
Student Count 16

505B Auto                 Period 2
  Anna Spade  (172)
  Asher Marblemaw  (40)
  Athena Woodgrip  (168)
  Cameron James  (258)
  Daniel Jenkins  (414)
  Daniel Katz  (330)
  Everleigh James  (60)
  Ezekiel Fellowes  (48)
  Isaac Collymore  (302)
  Isla Gatlin  (382)
  Jordan Vespertine  (232)
  Julian Adair  (100)
  Maya Ashbluff  (160)
  Maya James  (188)
  Nora Adams  (298)
  Parker Ashford  (354)
  Parker Whitlock  (390)
  Theodore Gasper  (68)
  Waylon Driscoll  (52)
  William Ashley  (406)
Student Count 20

505C Auto                 Period 4
  Adam Huxley  (116)
  Adeline Hydrafist  (212)
  Aubrey James  (216)
  Autumn Marblemaw  (410)
  Caleb Lennon  (422)
  David Finch  (16)
  Hazel Fellowes  (262)
  Jackson Laurier  (446)
  Jacob Finch  (28)
  James Curran  (196)
  Josiah Yarrow  (124)
  Kennedy Yarrow  (498)
  Lillian Fleet  (132)
  Nevaeh Cyprus  (494)
  Violet Snakeleaf  (270)
Student Count 15

505D Auto                 Period 6
  Angel Gorestriker  (140)
  Anthony Gannon  (128)
  Autumn Thatcher  (286)
  Caleb Mintz  (24)
  Camila West  (120)
  Charles Truthbelly  (458)
  Charlotte Strongblossom  (20)
  Daniel Beckett  (220)
  Eloise Gonzales  (338)
  Ezra Wilson  (64)
  Gianna Zimmerman  (374)
  Harper Kicklighter  (104)
  Jack Beckett  (228)
  Madison Thatcher  (358)
  Mila Thatcher  (306)
  Olivia Bardot  (108)
  Raelynn Vespertine  (56)
  Sebastian Driscoll  (326)
  Zoey Beckett  (282)
  Zoey Hansley  (398)
Student Count 20

505E Auto                 Period 7
  Benjamin Curran  (12)
  Benjamin Snakeleaf  (478)
  Chloe Undergrove  (322)
  Claire Driscoll  (434)
  Emery Monroe  (346)
  Grayson Ashbluff  (430)
  Grayson Gannon  (490)
  Ivy Stoll  (254)
  Joshua Yearwood  (204)
  Kennedy Ashbluff  (450)
  Lucas Curran  (426)
  Maverick Thatcher  (192)
  Parker Undergrove  (156)
  Sophia Lennon  (290)
  Waylon Keller  (294)
  Wesley Adler  (278)
  Weston Madden  (84)
  Zoey Beam  (236)
Student Count 18

505F Auto                 Period 5
  Adrian Anderson  (310)
  Audrey Lopez  (386)
  Colton Beckett  (366)
  Everleigh Gray  (224)
  Ivy Solace  (144)
  Jacob Cassidy  (36)
  Lydia Dustfinger  (148)
  Mia Moses  (438)
  Riley Madden  (152)
  Ruby Adler  (402)
  Ryan Elrod  (164)
  Victoria Gorestriker  (378)
  Walker Gasper  (362)
  Walker Verlice  (334)
  Waylon Caskcut  (394)
  Waylon Driscoll  (350)
  Weston Adler  (80)
Student Count 17

505G Auto                 Period 3
  Adam Marley  (4)
  Aria Biddercombe  (266)
  Christian Wilson  (44)
  Ella Fellowes  (486)
  Isaac Woodgrip  (32)
  Jade West  (342)
  Layla Yearwood  (88)
  Leonardo Sagespark  (454)
  Madelyn Jenkins  (244)
  Mateo Jenkins  (200)
  Mila Bozzelli  (274)
  Miles Barlowe  (76)
  Oliver Ashbluff  (240)
  Savannah Caskcut  (112)
  Scarlett Cassidy  (442)
  Sophie October  (482)
  Wesley Cyprus  (462)
  Zoey Gorestriker  (248)
Student Count 18

506A Carpentry            Period 6
  Adrian Anderson  (310)
  Asher Marblemaw  (40)
  Athena Bozzelli  (495)
  Chloe Undergrove  (322)
  Christian Wilson  (44)
  Colton Beckett  (366)
  Cooper Solace  (169)
  Elijah Madden  (161)
  Emery Dagon  (439)
  Everleigh James  (60)
  Harper Bozzelli  (431)
  Logan Marley  (8)
  Owen Ashford  (201)
  Penelope Elsher  (395)
  Sophia Lennon  (290)
  Theodore Gasper  (68)
  Waylon Driscoll  (52)
  Weston Madden  (84)
Student Count 18

506B Carpentry            Period 1
  Audrey Madden  (149)
  Avery Dustfinger  (455)
  Claire Biddercombe  (157)
  Gianna Zimmerman  (374)
  Josephine Strongblossom  (145)
  Micah Beam  (463)
  Mila Bozzelli  (274)
  Nathan Adair  (241)
  Parker Ashford  (354)
  Serenity Lightfoot  (411)
  Walker Verlice  (334)
  Waylon Keller  (294)
  Wesley Finch  (225)
  Zoey Beckett  (282)
Student Count 14

506C Carpentry            Period 3
  Adam Huxley  (116)
  Cameron James  (258)
  Delilah Fellowes  (475)
  Easton Ashley  (185)
  Elias Beckett  (153)
  Elijah Wilson  (451)
  Eloise Adams  (213)
  Hazel Fellowes  (262)
  Jacob Cassidy  (36)
  Julian Adair  (100)
  Madison Marblemaw  (479)
  Madison Thatcher  (358)
  Nora Adams  (298)
  Riley Verlice  (318)
  Ryan Zimmerman  (491)
  Sebastian Caddel  (415)
  Waylon Driscoll  (350)
  Wesley Adler  (278)
Student Count 18

506D Carpentry            Period 2
  Adam Marley  (4)
  Alexander Verlice  (92)
  Autumn Thatcher  (286)
  Ava Remington  (423)
  Charlotte Whitlock  (435)
  David Finch  (16)
  Delilah Vespertine  (443)
  Emery Monroe  (346)
  Jacob Gonzales  (189)
  Jaxon Hope  (96)
  Jordan Woodgrip  (383)
  Josiah Yarrow  (124)
  Luna West  (165)
  Mateo Hart  (407)
  Raelynn Keller  (483)
  Savannah Caskcut  (112)
  Sebastian Driscoll  (326)
  Victoria Caskcut  (221)
  Weston Adler  (80)
Student Count 19

506E Carpentry            Period 5
  Aaron Singh  (467)
  Aria Biddercombe  (266)
  Ayla Carter  (249)
  Charlotte Strongblossom  (20)
  Ella Lopez  (370)
  Ezra Wilson  (64)
  Gabriella Adair  (193)
  Isaac Collymore  (302)
  Ivy Stoll  (254)
  Jacob Finch  (28)
  James Humblecut  (387)
  Jordan Spade  (197)
  Kai Ashbluff  (391)
  Kennedy Hart  (237)
  Kinsley Windward  (447)
  Madelyn Zimmerman  (72)
  Mila Thatcher  (306)
  Raelynn Vespertine  (56)
  Thomas Gray  (141)
  Victoria Finnegan  (245)
Student Count 20

506F Carpentry            Period 7
  Alice Crawford  (177)
  Anthony Strongblossom  (181)
  Camila West  (120)
  Caroline James  (314)
  Eli Hendrix  (229)
  Eli West  (427)
  Harper Kicklighter  (104)
  Jade West  (342)
  Joseph Mintz  (471)
  Logan Elsher  (209)
  Nathan Huxley  (217)
  Ruby Hydrafist  (137)
  Ryan Remington  (499)
  Stella Gasper  (379)
  Thomas Lightfoot  (399)
  Violet Snakeleaf  (270)
  Walker Gasper  (362)
Student Count 17

506G Carpentry            Period 4
  Adam Keller  (133)
  Benjamin Curran  (12)
  Brooks Caddel  (129)
  Caleb Mintz  (24)
  Cameron Beckett  (487)
  Christopher Cyprus  (459)
  Daniel Katz  (330)
  Elias Amos  (173)
  Elias Ashley  (233)
  Eloise Gonzales  (338)
  Ezekiel Fellowes  (48)
  Isaac Woodgrip  (32)
  Jaxon Yearwood  (403)
  John Strongblossom  (205)
  Kinsley Driscoll  (419)
  Layla Yearwood  (88)
  Miles Barlowe  (76)
  Olivia Bardot  (108)
Student Count 18

507A Agriculture          Period 5
  Ava Remington  (423)
  Avery Dustfinger  (455)
  Benjamin Curran  (12)
  Cameron James  (258)
  Christian Wilson  (44)
  Cooper Solace  (169)
  Elias Amos  (173)
  Emery Monroe  (346)
  Jacob Gonzales  (189)
  Jade West  (342)
  Joseph Mintz  (471)
  Julian Adair  (100)
  Layla Yearwood  (88)
  Logan Marley  (8)
  Madison Thatcher  (358)
  Mateo Hart  (407)
  Micah Beam  (463)
  Sebastian Driscoll  (326)
Student Count 18

507B Agriculture          Period 1
  Aria Biddercombe  (266)
  Cameron Beckett  (487)
  Charlotte Whitlock  (435)
  Colton Beckett  (366)
  Delilah Vespertine  (443)
  Elijah Madden  (161)
  Eloise Gonzales  (338)
  Everleigh James  (60)
  Ezra Wilson  (64)
  Isaac Woodgrip  (32)
  Jacob Cassidy  (36)
  Jordan Spade  (197)
  Jordan Woodgrip  (383)
  Luna West  (165)
  Madison Marblemaw  (479)
  Penelope Elsher  (395)
  Raelynn Keller  (483)
  Ruby Hydrafist  (137)
  Ryan Zimmerman  (491)
  Wesley Adler  (278)
Student Count 20

507C Agriculture          Period 7
  Adam Marley  (4)
  Alexander Verlice  (92)
  Asher Marblemaw  (40)
  Audrey Madden  (149)
  Brooks Caddel  (129)
  Christopher Cyprus  (459)
  David Finch  (16)
  Josephine Strongblossom  (145)
  Kai Ashbluff  (391)
  Kinsley Windward  (447)
  Miles Barlowe  (76)
  Nathan Adair  (241)
  Sebastian Caddel  (415)
  Waylon Driscoll  (52)
  Wesley Finch  (225)
Student Count 15

507D Agriculture          Period 2
  Adam Huxley  (116)
  Adam Keller  (133)
  Adrian Anderson  (310)
  Caleb Mintz  (24)
  Chloe Undergrove  (322)
  Claire Biddercombe  (157)
  Easton Ashley  (185)
  Eli Hendrix  (229)
  Eli West  (427)
  Eloise Adams  (213)
  Harper Bozzelli  (431)
  Hazel Fellowes  (262)
  James Humblecut  (387)
  John Strongblossom  (205)
  Madelyn Zimmerman  (72)
  Riley Verlice  (318)
  Ryan Remington  (499)
  Waylon Driscoll  (350)
Student Count 18

507E Agriculture          Period 6
  Aaron Singh  (467)
  Alice Crawford  (177)
  Anthony Strongblossom  (181)
  Caroline James  (314)
  Daniel Katz  (330)
  Elias Ashley  (233)
  Jaxon Yearwood  (403)
  Logan Elsher  (209)
  Mila Bozzelli  (274)
  Nora Adams  (298)
  Savannah Caskcut  (112)
  Stella Gasper  (379)
  Thomas Gray  (141)
  Thomas Lightfoot  (399)
  Victoria Caskcut  (221)
  Violet Snakeleaf  (270)
  Walker Gasper  (362)
Student Count 17

507F Agriculture          Period 3
  Autumn Thatcher  (286)
  Ayla Carter  (249)
  Camila West  (120)
  Ella Lopez  (370)
  Ezekiel Fellowes  (48)
  Gianna Zimmerman  (374)
  Ivy Stoll  (254)
  Jacob Finch  (28)
  Josiah Yarrow  (124)
  Kennedy Hart  (237)
  Kinsley Driscoll  (419)
  Nathan Huxley  (217)
  Olivia Bardot  (108)
  Parker Ashford  (354)
  Serenity Lightfoot  (411)
  Theodore Gasper  (68)
  Waylon Keller  (294)
  Weston Adler  (80)
  Weston Madden  (84)
  Zoey Beckett  (282)
Student Count 20

507G Agriculture          Period 4
  Athena Bozzelli  (495)
  Charlotte Strongblossom  (20)
  Delilah Fellowes  (475)
  Elias Beckett  (153)
  Elijah Wilson  (451)
  Emery Dagon  (439)
  Gabriella Adair  (193)
  Harper Kicklighter  (104)
  Isaac Collymore  (302)
  Jaxon Hope  (96)
  Mila Thatcher  (306)
  Owen Ashford  (201)
  Raelynn Vespertine  (56)
  Sophia Lennon  (290)
  Victoria Finnegan  (245)
  Walker Verlice  (334)


